Jahr;Todesursache;Geschlecht;Anzahl
1980;Bestimmte infektioese und parasitaere Krankheiten;maennlich;3221
1980;Bestimmte infektioese und parasitaere Krankheiten;weiblich;2542
1980;Tuberkulose einschliesslich ihrer Folgezustaende;maennlich;1783
1980;Tuberkulose einschliesslich ihrer Folgezustaende;weiblich;775
1980;Meningokokkeninfektion;maennlich;59
1980;Meningokokkeninfektion;weiblich;60
1980;Virushepatitis;maennlich;92
1980;Virushepatitis;weiblich;96
1980;HIV-Krankheit;maennlich;NA
1980;HIV-Krankheit;weiblich;NA
1980;Neubildungen;maennlich;99691
1980;Neubildungen;weiblich;101393
1980;Boesartige Neubildungen (BN);maennlich;95970
1980;Boesartige Neubildungen (BN);weiblich;96749
1980;BN der Lippe, der Mundhoehle und des Pharynx;maennlich;1766
1980;BN der Lippe, der Mundhoehle und des Pharynx;weiblich;644
1980;BN des Oesophagus;maennlich;1991
1980;BN des Oesophagus;weiblich;705
1980;BN des Magens;maennlich;11915
1980;BN des Magens;weiblich;10961
1980;BN des Dickdarms;maennlich;6820
1980;BN des Dickdarms;weiblich;10282
1980;BN des Rektums, des Anus und am Rektosigmoid;maennlich;5170
1980;BN des Rektums, des Anus und am Rektosigmoid;weiblich;5414
1980;BN der Leber, der Gallenwege und des Pankreas;maennlich;7369
1980;BN der Leber, der Gallenwege und des Pankreas;weiblich;11131
1980;BN der Leber und der intrahepatischen Gallengaenge;maennlich;1876
1980;BN der Leber und der intrahepatischen Gallengaenge;weiblich;1865
1980;BN des Pankreas;maennlich;4009
1980;BN des Pankreas;weiblich;4427
1980;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;maennlich;27915
1980;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;weiblich;4894
1980;BN der Bronchien und der Lunge;maennlich;26536
1980;BN der Bronchien und der Lunge;weiblich;4737
1980;Melanom und sonstige boesartige Neubild. der Haut;maennlich;976
1980;Melanom und sonstige boesartige Neubild. der Haut;weiblich;1075
1980;Boesartiges Melanom der Haut;maennlich;769
1980;Boesartiges Melanom der Haut;weiblich;827
1980;BN der Brustdruese;maennlich;137
1980;BN der Brustdruese;weiblich;14780
1980;BN der Genital- und Harnorgane;maennlich;16455
1980;BN der Genital- und Harnorgane;weiblich;18919
1980;BN der Cervix uteri;maennlich;NA
1980;BN der Cervix uteri;weiblich;3318
1980;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;maennlich;NA
1980;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;weiblich;3709
1980;BN des Ovars;maennlich;NA
1980;BN des Ovars;weiblich;5580
1980;BN der Prostata;maennlich;8818
1980;BN der Prostata;weiblich;NA
1980;BN der Niere, ausgenommen Nierenbecken;maennlich;2473
1980;BN der Niere, ausgenommen Nierenbecken;weiblich;1776
1980;BN der Harnblase;maennlich;4158
1980;BN der Harnblase;weiblich;1659
1980;BN d. lymphat., blutbild. u. verwandten Gewebes;maennlich;5396
1980;BN d. lymphat., blutbild. u. verwandten Gewebes;weiblich;5379
1980;Leukaemie;maennlich;3010
1980;Leukaemie;weiblich;3017
1980;Gutartige Neubildungen;maennlich;373
1980;Gutartige Neubildungen;weiblich;481
1980;Krankheiten des Blutes u. der blutbildenden Organe;maennlich;911
1980;Krankheiten des Blutes u. der blutbildenden Organe;weiblich;1339
1980;Endokrine, Ernaehrungs- u. Stoffwechselkrankheiten;maennlich;7331
