"Name";"Trikotnummer";"Position";"Alter";"Groesse";"Gewicht"
"Josh Allen";17;"QB";26;195,58;107,501304
"Matt Barkley";11;"QB";31;187,96;102,965384
"Case Keenum";18;"QB";34;185,42;97,52228
"Raheem Blackshear";NA;"RB";NA;175,26;87,996848
"James Cook";28;"RB";22;180,34;86,18248
"Duke Johnson";22;"RB";28;175,26;95,25432
"Taiwan Jones";25;"RB";33;182,88;88,45044
"Zack Moss";20;"RB";24;175,26;92,98636
"Devin Singletary";26;"RB";24;170,18;92,079176
"Reggie Gilliam";41;"FB";24;182,88;110,676448
"Jamison Crowder";80;"WR";28;175,26;80,285784
"Gabriel Davis";13;"WR";23;187,96;95,25432
"Stefon Diggs";14;"WR";28;182,88;86,636072
"Tanner Gentry";87;"WR";27;187,96;94,800728
"Isaiah Hodgins";16;"WR";23;190,5;91,171992
"Jake Kumerow";15;"WR";30;193,04;94,800728
"Isaiah McKenzie";19;"WR";27;172,72;78,471416
"Neil Pau'u";NA;"WR";NA;193,04;97,52228
"Khalil Shakir";10;"WR";NA;182,88;86,18248
"Marquez Stevenson";5;"WR";24;177,8;81,64656
"Malik Williams";NA;"WR";23;177,8;83,91452
"O.J. Howard";8;"TE";27;198,12;113,851592
"Dawson Knox";88;"TE";25;193,04;115,212368
"Quintin Morris";85;"TE";23;187,96;114,305184
"Tommy Sweeney";89;"TE";26;195,58;113,851592
"Jalen Wydermyer";NA;"TE";NA;195,58;115,66596
"Mitch Morse";60;"C";30;198,12;138,34556
"Ike Boettger";65;"G";27;198,12;141,974296
"Jacob Capra";66;"G";23;195,58;136,0776
"Cody Ford";74;"G";25;190,5;149,231768
"Greg Mancz";62;"G";30;193,04;136,984784
"Tanner Owen";NA;"G";NA;195,58;127,00576
"David Quessenberry";72;"G";31;195,58;140,61352
"Rodger Saffold III";76;"G";33;195,58;147,4174
"Alec Anderson";NA;"OT";NA;195,58;138,34556
"Ryan Bates";71;"OT";25;193,04;136,984784
"Spencer Brown";79;"OT";24;203,2;141,067112
"Dion Dawkins";73;"OT";28;195,58;145,14944
"Tommy Doyle";72;"OT";24;203,2;145,14944
"Bobby Hart";68;"OT";27;195,58;140,61352
"Derek Kerstetter";NA;"OT";NA;195,58;140,61352
"Evin Ksiezarczyk";67;"OT";24;198,12;140,61352
"Luke Tenuta";67;"OT";NA;200,66;142,88148
"Will Ulmer";NA;"OT";NA;193,04;141,520704
"Boogie Basham";96;"DE";24;190,5;127,459352
"AJ Epenesa";57;"DE";23;198,12;117,93392
"Kingsley Jonathan";NA;"DE";NA;193,04;117,93392
"Daniel Joseph";NA;"DE";NA;190,5;120,20188
"Shaq Lawson";50;"DE";27;190,5;122,46984
"Mike Love";56;"DE";28;190,5;115,66596
"Jordan Phillips";97;"DE";29;198,12;154,674872
"Greg Rousseau";50;"DE";22;198,12;120,655472
"Eli Ankou";51;"DT";27;190,5;147,4174
"C.J. Brewer";NA;"DT";NA;187,96;131,54168
"Brandin Bryant";90;"DT";28;187,96;138,34556
"Prince Emili";NA;"DT";NA;187,96;124,7378
"DaQuan Jones";92;"DT";30;193,04;145,14944
"Ed Oliver";91;"DT";24;185,42;130,180904
"Tim Settle";99;"DT";24;190,5;139,706336
"Terrel Bernard";43;"LB";23;185,42;100,697424
"Tyrel Dodson";53;"LB";23;182,88;107,501304
"Tremaine Edmunds";49;"LB";24;195,58;113,398
"Joe Giles-Harris";42;"LB";25;187,96;108,86208
"Marquel Lee";52;"LB";26;190,5;106,59412
"Tyler Matakevich";44;"LB";29;185,42;106,59412
"Matt Milano";58;"LB";27;182,88;101,151016
"Von Miller";40;"LB";33;190,5;111,13004
"Andre Smith";9;"LB";25;182,88;108,86208
